Wall time,Step,Value
1557503149.0719192,262,1721750272.0
1557503152.3829503,264,1411150592.0
1557503155.6767426,266,1146745856.0
1557503158.9715052,268,1339098496.0
1557503162.2730093,270,1298836224.0
1557503165.6083257,272,1697467904.0
1557503168.9185,274,1659301248.0
1557503172.196813,276,1220869248.0
1557503175.485916,278,1209823616.0
1557503178.7749074,280,1458866304.0
1557503182.0990136,282,1719504896.0
1557503185.4085095,284,1352322176.0
1557503188.7215235,286,1543301376.0
1557503192.0268645,288,1056059648.0
1557503195.3283696,290,1313996672.0
1557503198.661619,292,1103042688.0
1557503201.9884334,294,1111067136.0
1557503205.3197746,296,1451452160.0
1557503208.6671815,298,961263872.0
1557503211.9789526,300,1804565248.0
1557503215.2755651,302,1059622144.0
1557503218.598619,304,1213030144.0
1557503221.9403315,306,1110969600.0
1557503225.2859643,308,1364301312.0
1557503228.6287339,310,1520134912.0
1557503231.996104,312,1596330624.0
1557503235.3220289,314,1473243904.0
1557503238.6482334,316,1230864896.0
1557503241.9965382,318,1001186432.0
1557503245.3467968,320,1007433664.0
1557503248.6755986,322,1463934592.0
1557503252.004608,324,1608243584.0
1557503255.3180528,326,1922896896.0
1557503258.6575837,328,2113949184.0
1557503262.0140326,330,1245766016.0
1557503265.34725,332,988490816.0
1557503268.6907842,334,782819136.0
1557503272.0248384,336,1309508224.0
1557503275.361496,338,807010240.0
1557503278.707905,340,1123182720.0
1557503282.0605967,342,1066221952.0
1557503285.386992,344,1004175552.0
1557503288.744729,346,1141718016.0
1557503292.1024897,348,878949312.0
1557503295.4456468,350,909134912.0
1557503298.760647,352,1087916160.0
1557503302.0934017,354,866197184.0
1557503305.4409916,356,1130969856.0
1557503308.7917004,358,1395966464.0
1557503312.1375022,360,1860612608.0
1557503315.4689906,362,1296552448.0
1557503318.8072667,364,1441711744.0
1557503322.1631765,366,1108966400.0
1557503325.4682357,368,770535680.0
1557503328.8105087,370,1199104896.0
1557503332.1538599,372,1170082816.0
1557503335.5065014,374,1061076736.0
1557503337.7208629,375,1853400576.0
1557503341.0562086,377,1575700736.0
1557503344.3987484,379,1217274880.0
1557503347.7260227,381,1087483264.0
1557503351.1016846,383,897080192.0
1557503354.4695551,385,808093312.0
1557503357.799254,387,1073251520.0
1557503361.1972415,389,950753472.0
1557503364.533751,391,923390592.0
1557503367.854754,393,1005241472.0
1557503371.1786265,395,854442560.0
1557503374.5209177,397,1155051008.0
1557503377.8448412,399,1445946368.0
1557503381.1894178,401,927109120.0
1557503384.5179,403,846099712.0
1557503387.8507783,405,840546368.0
1557503391.1777408,407,839500160.0
1557503394.506515,409,764419840.0
1557503397.8230963,411,881257920.0
1557503401.1474476,413,926986560.0
1557503404.463715,415,1071748544.0
1557503407.8023112,417,838766592.0
1557503411.1377115,419,695627264.0
1557503414.4638686,421,971632576.0
1557503417.779271,423,1152090112.0
1557503421.1196203,425,2673676032.0
1557503424.45242,427,2330453760.0
1557503427.776319,429,2056848896.0
1557503431.1037366,431,1886128896.0
1557503434.4536784,433,1482708480.0
1557503437.7934515,435,933648640.0
1557503441.1289291,437,1278776960.0
